iso,name,planted_forest__ha,primary_forest__ha,regenerated_forest__ha,fao_treecover__ha,area_ha
TKM,Turkmenistan,0,104000,4023000,4127000,"48,810.00"
TLS,Timor-Leste,43000,0,643000,686000,"1,487.00"
TON,Tonga,1000,4000,4000,9000,75
TTO,Trinidad and Tobago,11244,62400,160831,234476,513
TUN,Tunisia,725000,0,316000,1041000,"16,361.00"
TUR,Turkey,3386000,913000,7416000,11715000,"78,356.00"
TUV,Tuvalu,,,,1000,3
TZA,United Republic of Tanzania,290000,0,45770000,46060000,"94,730.00"
UGA,Uganda,60000,0,2017000,2077000,"24,155.00"
UKR,Ukraine,4860000,59000,4738000,9657000,"60,355.00"
URY,Uruguay,1062000,313000,470000,1845000,"17,622.00"
USA,United States of America,26364000,75300000,208431000,310095000,"963,203.00"
UZB,Uzbekistan,801500,73000,2345400,3219900,"44,896.90"
VAT,Vatican City,0,0,0,0,0
VCT,Saint Vincent and the Grenadines,0,0,27000,27000,39
VEN,Venezuela,557000,45746000,380000,46683000,"91,205.00"
VGB,British Virgin Islands,,,,3620,15
VIR,United States Virgin Islands,,0,17600,17600,35
VNM,Viet Nam,3663000,83000,11027000,14773000,"33,095.70"
VUT,Vanuatu,,,,440000,"1,219.00"
WLF,Wallis and Futuna,530,0,5300,5830,14
WSM,Samoa,32100,20,138600,171000,284
YEM,Yemen,0,0,549000,549000,"52,797.00"
ZAF,South Africa,1763000,947000,6531000,9241000,"121,909.00"
ZMB,Zambia,64000,0,48571000,48635000,"75,261.00"
ZWE,Zimbabwe,87000,801000,13174000,14062000,"39,076.00"
